pcap,window_start,src,flows_total,pkts_out,pkts_in,bytes_out,bytes_in,tcp_flows,udp_flows,unique_dst_ports,unique_dst_ips,mean_flow_duration,p95_flow_duration,mean_packets_per_flow,p95_packets_per_flow,syn_count,rst_count,entropy_dst_port,entropy_dst_ip,rst_per_syn,label
SYN_scan.pcap,1769364132.0,176.196.120.41,1,1,1,106,142,0,1,1,1,0.03947806358337402,0.03947806358337402,2.0,2.0,0,0,-0.0,-0.0,0.0,0
SYN_scan.pcap,1769364132.0,192.168.1.1,2,47,82,12530,11816,2,0,2,1,1.2159440517425537,2.2522373914718625,64.5,115.35,0,0,1.0,-0.0,0.0,0
SYN_scan.pcap,1769364132.0,192.168.1.130,870,874,869,50676,52140,870,0,870,1,0.0001973757798644318,0.0003409385681152344,2.003448275862069,2.0,874,869,9.764871590736089,-0.0,0.9931428571428571,1
SYN_scan.pcap,1769364132.0,192.168.1.135,2,2,1,184,138,0,2,2,2,0.7282875776290894,1.3837463974952697,1.5,1.95,0,0,1.0,1.0,0.0,0
SYN_scan.pcap,1769364135.0,192.168.1.130,132,133,133,7773,8032,132,0,132,2,0.00047366185621781784,0.0002472519874572753,2.015151515151515,2.0,131,131,7.0443941193584525,0.06425462540840808,0.9924242424242424,1
SYN_scan.pcap,1769364135.0,192.168.1.135,4,3,3,262,318,0,4,4,4,0.029842257499694824,0.07029340267181396,1.5,2.0,0,0,2.0,2.0,0.0,0
benign.pcap,1769177592.0,141.95.97.120,1,0,4,0,3816,1,0,1,1,61.744086027145386,61.744086027145386,4.0,4.0,0,1,-0.0,-0.0,1.0,0
benign.pcap,1769177592.0,162.254.198.68,1,15,15,3583,1736,1,0,1,1,288.4591760635376,288.4591760635376,30.0,30.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177592.0,192.168.1.1,1,2,2,292,132,1,0,1,1,0.0025861263275146484,0.0025861263275146484,4.0,4.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177592.0,192.168.1.130,1,19,18,3979,4218,0,1,1,1,295.55195212364197,295.55195212364197,37.0,37.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177592.0,192.168.1.135,4,679,556,92476,73621,1,3,4,4,224.47521704435349,299.46753189563753,308.75,901.8999999999996,0,0,2.0,2.0,0.0,0
benign.pcap,1769177592.0,192.168.1.63,1,184,0,45764,0,0,1,1,1,207.6034300327301,207.6034300327301,184.0,184.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177595.0,17.57.146.135,1,31,31,3442,15096,1,0,1,1,81.48975491523743,81.48975491523743,62.0,62.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177595.0,178.219.168.121,1,19,19,2208,2485,0,1,1,1,298.7505130767822,298.7505130767822,38.0,38.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177595.0,192.168.1.135,3,169,180,41304,14464,2,1,2,3,296.2123699982961,299.2267354011536,116.33333333333333,197.6,0,0,0.9182958340544896,1.584962500721156,0.0,0
benign.pcap,1769177598.0,101.43.180.146,1,1,2,102,204,1,0,1,1,0.3135950565338135,0.3135950565338135,3.0,3.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177598.0,108.177.127.188,1,2,2,158,158,1,0,1,1,0.31963586807250977,0.31963586807250977,4.0,4.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177598.0,192.168.1.135,2,5,5,551,526,1,1,2,2,24.261473536491394,38.00822786092758,5.0,5.0,0,0,1.0,1.0,0.0,0
benign.pcap,1769177601.0,142.250.74.14,1,14,14,6142,10884,0,1,1,1,0.31044983863830566,0.31044983863830566,28.0,28.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177601.0,162.159.61.5,1,11,10,5439,5438,0,1,1,1,0.0875709056854248,0.0875709056854248,21.0,21.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177601.0,178.215.158.212,1,19,18,3042,2467,0,1,1,1,294.2263970375061,294.2263970375061,37.0,37.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177601.0,185.211.245.131,1,14,15,8429,3201,1,0,1,1,7.116529941558838,7.116529941558838,29.0,29.0,2,3,-0.0,-0.0,1.0,0
benign.pcap,1769177601.0,192.168.1.1,1,1,1,158,78,0,1,1,1,0.3420729637145996,0.3420729637145996,2.0,2.0,0,0,-0.0,-0.0,0.0,0
benign.pcap,1769177604.0,17.188.182.196,1,11,10,8107,2543,1,0,1,1,0.9128458499908447,0.9128458499908447,21.0,21.0,2,2,-0.0,-0.0,0.6666666666666666,0
benign.pcap,1769177604.0,17.188.182.68,1,4,6,2500,1926,1,0,1,1,0.5162310600280762,0.5162310600280762,10.0,10.0,2,2,-0.0,-0.0,0.6666666666666666,0
benign.pcap,1769177604.0,192.168.1.135,1,19,19,2345,3684,0,1,1,1,297.5689790248871,297.5689790248871,38.0,38.0,0,0,-0.0,-0.0,0.0,0
